drugbank_id,drug_name,relationship_type,target_name,gene_name,uniprot_id,action
DB00002,Cetuximab,target,Epidermal growth factor receptor,EGFR,P00533,binder
DB00002,Cetuximab,target,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,O75015,binder
DB00002,Cetuximab,target,Complement C1q subcomponent subunit A,C1QA,P02745,binder
DB00002,Cetuximab,target,Complement C1q subcomponent subunit B,C1QB,P02746,binder
DB00002,Cetuximab,target,Complement C1q subcomponent subunit C,C1QC,P02747,binder
DB00002,Cetuximab,target,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,P08637,binder
DB00002,Cetuximab,target,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,P12314,binder
DB00002,Cetuximab,target,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,P12318,binder
DB00005,Etanercept,target,Tumor necrosis factor,TNF,P01375,inhibitor; antibody
DB00005,Etanercept,target,Lymphotoxin-alpha,LTA,P01374,antibody
DB00005,Etanercept,target,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,P12314,ligand
DB00005,Etanercept,target,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,P12318,ligand
DB00005,Etanercept,target,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,P31994,ligand
DB00005,Etanercept,target,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,P31995,ligand
DB00005,Etanercept,target,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,P08637,ligand
DB00005,Etanercept,target,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,O75015,ligand
DB00005,Etanercept,target,Complement component 1q (C1q),C1QA,P02745,ligand
DB00008,Peginterferon alfa-2a,target,Interferon alpha/beta receptor 2,IFNAR2,P48551,agonist
DB00008,Peginterferon alfa-2a,target,Interferon alpha/beta receptor 1,IFNAR1,P17181,agonist
DB00008,Peginterferon alfa-2a,target,Interferon alpha-2,IFNA2,P01563,modulator
DB00008,Peginterferon alfa-2a,enzyme,Cytochrome P450 1A2,CYP1A2,P05177,inhibitor
DB00022,Peginterferon alfa-2b,target,Interferon alpha/beta receptor 1,IFNAR1,P17181,agonist
DB00022,Peginterferon alfa-2b,target,Interferon alpha/beta receptor 2,IFNAR2,P48551,agonist
DB00022,Peginterferon alfa-2b,target,Interferon alpha-2,IFNA2,P01563,modulator
DB00022,Peginterferon alfa-2b,enzyme,Cytochrome P450 1A2,CYP1A2,P05177,inhibitor
DB00022,Peginterferon alfa-2b,enzyme,Cytochrome P450 2D6,CYP2D6,P10635,inhibitor
