drug_id,drug_name,smiles
RxNorm:36453,sevoflurane,C(OC(C(F)(F)F)C(F)(F)F)F
RxNorm:641,amikacin,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
RxNorm:6026,isoflurane,C(C(F)(F)F)(OC(F)F)Cl
RxNorm:704,amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
RxNorm:38400,atomoxetine,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
RxNorm:194000,capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
RxNorm:6099,kanamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N
RxNorm:2002,carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
RxNorm:1731031,lesinurad,C1CC1C2=CC=C(C3=CC=CC=C23)N4C(=NN=C4Br)SCC(=O)O
RxNorm:20890,lornoxicam,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3
RxNorm:41493,meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O
RxNorm:154,acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
RxNorm:3108,dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
RxNorm:4492,fluorouracil,C1=C(C(=O)NC(=O)N1)F
RxNorm:103,mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2
RxNorm:6878,methylene blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-]
RxNorm:8687,primaquine,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
RxNorm:72236,fosphenytoin,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3
RxNorm:9344,ribavirin,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
RxNorm:19831,budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
ATC:D06AX07,gentamicin,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
RxNorm:2020,carbimazole,CCOC(=O)N1C=CN(C1=S)C
RxNorm:190521,abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
