drug_id,drug_name,pharmgkb_id,rxnorm_id,drugbank_id
RxNorm:36453,sevoflurane,PA451341,36453,DB01236
RxNorm:641,amikacin,PA164744372,641,DB00479
ATC:M05BA,Bisphosphonates,PA164712563,,
RxNorm:6026,isoflurane,PA450106,6026,DB00753
RxNorm:704,amitriptyline,PA448385,704,DB00321
RxNorm:38400,atomoxetine,PA134688071,38400,DB00289
RxNorm:194000,capecitabine,PA448771,194000,DB01101
RxNorm:6099,kanamycin,PA450137,6099,DB01172
RxNorm:2002,carbamazepine,PA448785,2002,DB00564
RxNorm:1731031,lesinurad,PA166160006,1731031,
RxNorm:20890,lornoxicam,PA165958395,20890,DB06725
RxNorm:41493,meloxicam,PA450353,41493,DB00814
RxNorm:154,acenocoumarol,PA452632,154,DB01418
RxNorm:3108,dapsone,PA449211,3108,DB00250
RxNorm:4492,fluorouracil,PA128406956,4492,DB00544
RxNorm:103,mercaptopurine,PA450379,103,DB01033
RxNorm:6878,methylene blue,PA450457,6878,NA
RxNorm:8687,primaquine,PA451103,8687,DB01087
RxNorm:283821,rasburicase,PA10176,283821,DB00049
RxNorm:72236,fosphenytoin,PA164746820,72236,DB01320
RxNorm:9344,ribavirin,PA451241,9344,DB00811
RxNorm:19831,budesonide,PA448681,19831,DB01222
ATC:D06AX07,gentamicin,PA449753,1596450,DB00798
RxNorm:2020,carbimazole,PA164742970,2020,DB00389
RxNorm:190521,abacavir,PA448004,190521,DB01048
RxNorm:519,allopurinol,PA448320,519,DB00437
RxNorm:711942,eltrombopag,PA165981594,711942,
RxNorm:10627,tobramycin,PA451704,10627,DB00684
RxNorm:10638,toluidine blue,PA166268821,10638,NA
RxNorm:27392,tropisetron,PA161925594,27392,DB11699
RxNorm:480,alfentanil,PA448084,480,DB00802
RxNorm:7833,aminosalicylic acid,PA448382,7833,DB00233
RxNorm:1191,aspirin,PA448497,1191,DB00945
RxNorm:10109,streptomycin,PA451512,10109,DB01082
RxNorm:11289,warfarin,PA451906,11289,DB00682
