pair_id,gene,drug_id,cpic_level,pgx_testing,citations
110081,CYP2D6,RxNorm:704,A,Actionable PGx,"23486447,27997040"
110082,UGT1A1,RxNorm:343047,A,,26417955
110083,CYP2D6,RxNorm:38400,A,Actionable PGx,30801677
110088,HLA-B,RxNorm:2002,A,Testing Required,"23695185,29392710"
110089,CYP2C9,RxNorm:140587,A,Actionable PGx,32189324
110090,CYP2C19,RxNorm:2556,A,Actionable PGx,"25974703,37032427"
110103,CACNA1S,RxNorm:5095,A,,30499100
110117,CYP2D6,RxNorm:7531,A,Actionable PGx,"23486447,27997040"
110143,NUDT15,RxNorm:10485,A,Testing Recommended,"21270794,23422873,30447069"
110180,CYP2C19,RxNorm:2597,B,,"23486447,27997040"
110252,CYP2D6,RxNorm:1876905,B/C,Actionable PGx,
110295,CYP2D6,RxNorm:77492,B/C,Actionable PGx,
2452901,G6PD,RxNorm:7833,C,,36049896
110247,SLC6A4,RxNorm:2556,C,,37032427
110333,CYP2C19,RxNorm:283742,C,Actionable PGx,32770672
110061,CYP2C8,RxNorm:5640,C,,32189324
418197,CYP2D6,RxNorm:6813,C,,33387367
110206,G6PD,RxNorm:7517,C,Actionable PGx,36049896
110392,COMT,ATC:N06AB,C,,
3122379,HTR2A,RxNorm:36437,C,,37032427
110219,G6PD,RxNorm:10171,C,Actionable PGx,36049896
110414,CYP2A7P1,RxNorm:53654,C/D,,
110442,FDPS,ATC:M05BA,D,,
110452,EGF,RxNorm:318341,D,,
110453,FCGR3A,RxNorm:318341,D,,
110484,CRHR1,RxNorm:284635,D,,
110500,NAT1,RxNorm:6058,D,,
110521,XRCC1,RxNorm:1311280,D,,
110547,TCF7L2,MeSH:D013449,D,,
110158,NAT2,RxNorm:5470,A,Actionable PGx,
110168,CYP2D6,RxNorm:1455099,A,Actionable PGx,37032427
110149,CYP4F2,RxNorm:11289,A,,"21900891,28198005"
110150,VKORC1,RxNorm:11289,A,Actionable PGx,"21900891,28198005"
110152,MT-RNR1,ATC:J01G,A/B,,
110169,CYP2C9,RxNorm:154,B,,
110181,CYP2D6,RxNorm:2597,B,Actionable PGx,"23486447,27997040"
110314,G6PD,RxNorm:2393,C,Actionable PGx,36049896
110257,SLC28A3,RxNorm:3639,B/C,,
110259,SLCO1B1,RxNorm:2049846,B/C,Actionable PGx,
110266,CYP2D6,RxNorm:73178,B/C,Actionable PGx,
110267,CYP2D6,RxNorm:6185,B/C,,
110268,HLA-DRB1,RxNorm:480167,B/C,Actionable PGx,
110270,G6PD,RxNorm:6387,B/C,,
110271,MTHFR,RxNorm:1025342,B/C,,
110273,CYP2D6,RxNorm:6676,B/C,Actionable PGx,
110278,CYP2D6,RxNorm:1300786,B/C,Actionable PGx,
110176,SLCO1B1,RxNorm:596723,B,,
469134,CYP2B6,RxNorm:42347,B/C,,
110272,CYP2D6,RxNorm:28863,B/C,Actionable PGx,
110326,CYP2C9,RxNorm:3355,C,,32189324
3122081,CYP2C19,RxNorm:72625,C,,37032427
3122091,CYP2C19,RxNorm:4493,C,,37032427
2777631,CYP3A5,RxNorm:41127,C,,
110345,MC4R,RxNorm:5093,C,,
110086,DPYD,RxNorm:194000,A,Testing Recommended,"23988873,29152729"
110087,HLA-A,RxNorm:2002,A,Actionable PGx,"23695185,29392710"
110093,CACNA1S,RxNorm:27340,A,Actionable PGx,30499100
1556301,SLCO1B1,RxNorm:41127,A,,35152405
110113,NUDT15,RxNorm:103,A,Testing Recommended,"21270794,23422873,30447069"
3004620,MT-RNR1,RxNorm:7337,A,,34032273
826284,MT-RNR1,RxNorm:7934,A,,34032273
3004621,MT-RNR1,RxNorm:NA,A,,34032273
110151,MT-RNR1,RxNorm:641,A,Actionable PGx,34032273
1556299,SLCO1B1,RxNorm:83367,A,,35152405
110078,HLA-B,RxNorm:190521,A,Testing Required,"24561393,22378157"
110079,HLA-B,RxNorm:519,A,Testing Recommended,"23232549,26094938"
110080,CYP2C19,RxNorm:704,A,,"23486447,27997040"
110084,NUDT15,RxNorm:1256,A,Testing Recommended,"21270794,23422873,30447069"
110085,TPMT,RxNorm:1256,A,Testing Recommended,"21270794,23422873,30447069"
110092,CYP2D6,RxNorm:2670,A,Actionable PGx,"22205192,24458010,33387367"
110095,CYP2B6,RxNorm:195085,A,Actionable PGx,31006110
1556302,CYP2C9,RxNorm:41127,A,,35152405
110114,TPMT,RxNorm:103,A,Testing Recommended,"21270794,23422873,30447069"
110128,HLA-B,RxNorm:8183,A,Actionable PGx,"25099164,32779747"
110138,RYR1,RxNorm:10154,A,Actionable PGx,30499100
110139,CYP3A5,RxNorm:42316,A,,25801146
110144,TPMT,RxNorm:10485,A,Testing Recommended,"21270794,23422873,30447069"
110147,CYP2C19,RxNorm:121243,A,Actionable PGx,27981572
110186,CYP2C19,RxNorm:3638,B,Actionable PGx,"23486447,27997040"
110189,CYP2D6,RxNorm:42355,B,Actionable PGx,"25974703,37032427"
110194,CYP2C19,RxNorm:5691,B,,"23486447,27997040"
110291,UGT1A1,RxNorm:719872,B/C,Informative PGx,
110154,G6PD,RxNorm:1191,C,,36049896
418187,COMT,RxNorm:2670,C,,33387367
418198,COMT,RxNorm:6813,C,,33387367
110213,G6PD,RxNorm:9071,C,Actionable PGx,36049896
110098,CYP2C19,RxNorm:321988,A,Actionable PGx,"25974703,37032427"
110099,DPYD,RxNorm:4492,A,Actionable PGx,"23988873,29152729"
110391,SLCO1B1,RxNorm:301542,A,Actionable PGx,35152405
110276,CYP2D6,RxNorm:6918,B,,38951961
3122142,CYP2D6,RxNorm:2556,C,Informative PGx,37032427
110102,HLA-B,RxNorm:72236,A,Actionable PGx,"25099164,32779747"
110157,MT-RNR1,ATC:D06AX07,A,Actionable PGx,34032273
110104,RYR1,RxNorm:5095,A,,30499100
110063,CYP2C9,RxNorm:5640,A,,32189324
