id,drug_id,drug_name,gene,phenotype,implications_text,recommendation_text,strength,activity_score,allele_status,population,dosing_information,comments,risk_score,combined_text
7588405,RxNorm:190521,abacavir,HLA-B,,HLA-B: Low or reduced risk of abacavir hypersensitivity,Use abacavir per standard dosing guidelines,Strong,,HLA-B: HLA-B*57:01 negative,general,,n/a,2,HLA-B: Low or reduced risk of abacavir hypersensitivity | Use abacavir per standard dosing guidelines
7588406,RxNorm:190521,abacavir,HLA-B,,HLA-B: Significantly increased risk of abacavir hypersensitivity,Abacavir is not recommended,Strong,,HLA-B: HLA-B*57:01 positive,general,,n/a,10,HLA-B: Significantly increased risk of abacavir hypersensitivity | Abacavir is not recommended
7588407,RxNorm:519,allopurinol,HLA-B,,HLA-B: Low or reduced risk of allopurinol-induced SCAR,Use allopurinol per standard dosing guidelines,Strong,,HLA-B: HLA-B*58:01 negative,general,,n/a,2,HLA-B: Low or reduced risk of allopurinol-induced SCAR | Use allopurinol per standard dosing guidelines
7588408,RxNorm:519,allopurinol,HLA-B,,HLA-B: Significantly increased risk of allopurinol-induced SCAR,Allopurinol is contraindicated,Strong,,HLA-B: HLA-B*58:01 positive,general,,n/a,10,HLA-B: Significantly increased risk of allopurinol-induced SCAR | Allopurinol is contraindicated
7588409,RxNorm:641,amikacin,MT-RNR1,MT-RNR1: increased risk of aminoglycoside-induced hearing loss,MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,,,general,,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).",9,"MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic. | Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies. | If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
7588410,RxNorm:641,amikacin,MT-RNR1,MT-RNR1: normal risk of aminoglycoside-induced hearing loss,MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,,,general,,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",4,"MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic. | Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance. | Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
7588411,RxNorm:641,amikacin,MT-RNR1,MT-RNR1: uncertain risk of aminoglycoside-induced hearing loss,MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,,,general,,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",4,"MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic. | Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance. | Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
7588412,ATC:D06AX07,gentamicin,MT-RNR1,MT-RNR1: increased risk of aminoglycoside-induced hearing loss,MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,,,general,,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).",9,"MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic. | Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies. | If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
7588413,ATC:D06AX07,gentamicin,MT-RNR1,MT-RNR1: normal risk of aminoglycoside-induced hearing loss,MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,,,general,,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",4,"MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic. | Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance. | Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
7588414,ATC:D06AX07,gentamicin,MT-RNR1,MT-RNR1: uncertain risk of aminoglycoside-induced hearing loss,MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,,,general,,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",4,"MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic. | Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance. | Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
